onset	duration	trial_type	response_time	trust_value	choice	cLow	cHigh
4.028850	1.830115	choice_friend	1.830115	8	high	2	8
9.282294	1.000000	outcome_friend_defect	1.830115	8	high	2	8
16.939478	1.669521	choice_computer	1.669521	2	low	2	4
23.692728	1.000000	outcome_computer_recip	1.669521	2	low	2	4
28.116220	2.009042	choice_computer	2.009042	0	low	0	4
39.293102	1.415561	choice_computer	1.415561	2	low	2	4
46.046150	1.000000	outcome_computer_defect	1.415561	2	low	2	4
48.855213	1.403896	choice_friend	1.403896	8	high	2	8
54.107666	1.000000	outcome_friend_recip	1.403896	8	high	2	8
63.495953	1.595894	choice_stranger	1.595894	8	high	4	8
70.248955	1.000000	outcome_stranger_recip	1.595894	8	high	4	8
73.171430	1.354309	choice_stranger	1.354309	8	high	2	8
78.422104	1.000000	outcome_stranger_recip	1.354309	8	high	2	8
89.421844	1.520362	choice_stranger	1.520362	4	high	2	4
97.674675	1.000000	outcome_stranger_defect	1.520362	4	high	2	4
100.490250	1.934693	choice_computer	1.934693	2	low	2	8
105.742400	1.000000	outcome_computer_defect	1.934693	2	low	2	8
110.167620	1.340642	choice_friend	1.340642	4	high	2	4
115.419320	1.000000	outcome_friend_recip	1.340642	4	high	2	4
118.229810	1.461790	choice_computer	1.461790	0	low	0	4
126.292410	1.350258	choice_computer	1.350258	4	low	4	8
133.044900	1.000000	outcome_computer_recip	1.350258	4	low	4	8
135.973590	1.334776	choice_stranger	1.334776	2	high	0	2
141.225600	1.000000	outcome_stranger_defect	1.334776	2	high	0	2
144.036390	1.588851	choice_friend	1.588851	8	high	2	8
150.789180	1.000000	outcome_friend_defect	1.588851	8	high	2	8
153.601100	1.941085	choice_computer	1.941085	2	high	0	2
160.353780	1.000000	outcome_computer_recip	1.941085	2	high	0	2
163.163240	2.228989	choice_computer	2.228989	8	high	2	8
169.914700	1.000000	outcome_computer_recip	2.228989	8	high	2	8
175.956650	1.518978	choice_friend	1.518978	2	high	0	2
181.209380	1.000000	outcome_friend_recip	1.518978	2	high	0	2
185.635070	1.540142	choice_friend	1.540142	8	high	4	8
192.387000	1.000000	outcome_friend_defect	1.540142	8	high	4	8
196.813670	1.995197	choice_computer	1.995197	4	low	4	8
202.066940	1.000000	outcome_computer_defect	1.995197	4	low	4	8
209.836470	1.555862	choice_stranger	1.555862	4	high	2	4
218.088260	1.000000	outcome_stranger_recip	1.555862	4	high	2	4
220.900250	1.558615	choice_friend	1.558615	8	high	0	8
226.154280	1.000000	outcome_friend_defect	1.558615	8	high	0	8
230.693510	1.698081	choice_stranger	1.698081	8	high	0	8
238.945500	1.000000	outcome_stranger_defect	1.698081	8	high	0	8
245.096730	1.445186	choice_stranger	1.445186	8	high	2	8
250.347430	1.000000	outcome_stranger_defect	1.445186	8	high	2	8
256.395660	1.379797	choice_friend	1.379797	8	high	4	8
261.648160	1.000000	outcome_friend_recip	1.379797	8	high	4	8
266.189360	1.569450	choice_stranger	1.569450	4	high	0	4
272.942260	1.000000	outcome_stranger_recip	1.569450	4	high	0	4
277.370540	1.771467	choice_computer	1.771467	2	low	2	8
282.622830	1.000000	outcome_computer_defect	1.771467	2	low	2	8
285.430200	1.311208	choice_computer	1.311208	2	low	2	8
290.683200	1.000000	outcome_computer_recip	1.311208	2	low	2	8
293.494480	1.531010	choice_friend	1.531010	4	high	0	4
298.746920	1.000000	outcome_friend_recip	1.531010	4	high	0	4
301.556340	1.468949	choice_computer	1.468949	0	low	0	8
312.618650	1.590035	choice_computer	1.590035	0	low	0	8
320.794800	1.280458	choice_stranger	1.280458	8	high	0	8
326.047730	1.000000	outcome_stranger_recip	1.280458	8	high	0	8
328.856800	1.235479	choice_friend	1.235479	4	high	0	4
335.608980	1.000000	outcome_friend_defect	1.235479	4	high	0	4
341.767460	1.674576	choice_stranger	1.674576	8	high	2	8
348.520720	1.000000	outcome_stranger_defect	1.674576	8	high	2	8
351.335100	1.689764	choice_friend	1.689764	2	high	0	2
358.087900	1.000000	outcome_friend_defect	1.689764	2	high	0	2
360.901180	1.457628	choice_friend	1.457628	4	high	2	4
366.152370	1.000000	outcome_friend_defect	1.457628	4	high	2	4
372.308140	1.533046	choice_stranger	1.533046	8	high	4	8
379.059420	1.000000	outcome_stranger_defect	1.533046	8	high	4	8
383.599240	1.742177	choice_stranger	1.742177	8	high	2	8
388.857030	1.000000	outcome_stranger_recip	1.742177	8	high	2	8
398.122770	1.452382	choice_friend	1.452382	8	high	2	8
404.874970	1.000000	outcome_friend_recip	1.452382	8	high	2	8
407.800720	1.390603	choice_stranger	1.390603	4	high	0	4
413.055020	1.000000	outcome_stranger_defect	1.390603	4	high	0	4
415.977720	1.396947	choice_stranger	1.396947	2	high	0	2
421.230900	1.000000	outcome_stranger_recip	1.396947	2	high	0	2
424.041870	1.566647	choice_friend	1.566647	8	high	0	8
429.295140	1.000000	outcome_friend_recip	1.566647	8	high	0	8
433.722000	2.119946	choice_computer	2.119946	0	low	0	2
